Time (sec),Vtach (V)
0.055000,0.067912
0.055500,0.048621
0.056000,0.060235
0.056500,0.064292
0.057000,0.061785
0.057500,0.046544
0.058000,0.064537
0.058500,0.052966
0.059000,0.066584
0.059500,0.050818
0.060000,0.066630
0.060500,0.053420
0.061000,0.056195
0.061500,0.048577
0.062000,0.047040
0.062500,0.053211
0.063000,0.044686
0.063500,0.046463
0.064000,0.055507
0.064500,0.051789
0.065000,0.052622
0.065500,0.032403
0.066000,0.070837
0.066500,0.055361
0.067000,0.044135
0.067500,0.051232
0.068000,0.047122
0.068500,0.056391
0.069000,0.043923
0.069500,0.058018
0.070000,0.035993
0.070500,0.054326
0.071000,0.068405
0.071500,0.056015
0.072000,0.067831
0.072500,0.041153
0.073000,0.058503
0.073500,0.062222
0.074000,0.045458
0.074500,0.031963
0.075000,0.037315
0.075500,0.054932
0.076000,0.043265
0.076500,0.064523
0.077000,0.054213
0.077500,0.045930
0.078000,0.058849
0.078500,0.057275
0.079000,0.037784
0.079500,0.027160
0.080000,0.053363
0.080500,0.044411
0.081000,0.044942
0.081500,0.050897
0.082000,0.056217
0.082500,0.043844
0.083000,0.030592
0.083500,0.049979
0.084000,0.042020
0.084500,0.043709
0.085000,0.052767
0.085500,0.055605
0.086000,0.047310
0.086500,0.037049
0.087000,0.045001
0.087500,0.042185
0.088000,0.031712
0.088500,0.028557
0.089000,0.025619
0.089500,0.024191
0.090000,0.049989
0.090500,0.049090
0.091000,0.044941
0.091500,0.041438
0.092000,0.031121
0.092500,0.052163
0.093000,0.044200
0.093500,0.030457
0.094000,0.037889
0.094500,0.045093
0.095000,0.033186
0.095500,0.046668
0.096000,0.040255
0.096500,0.042615
0.097000,0.027556
0.097500,0.040001
0.098000,0.036493
0.098500,0.034035
0.099000,0.053481
0.099500,0.025893
0.100000,0.036948
0.100500,0.033268
0.101000,0.042536
0.101500,0.047755
0.102000,0.027795
0.102500,0.037402
0.103000,0.014833
0.103500,0.033841
0.104000,0.042005
0.104500,0.031741
0.105000,0.048231
0.105500,0.044160
0.106000,0.028209
0.106500,0.049470
0.107000,0.032606
0.107500,0.017945
0.108000,0.023417
0.108500,0.040950
0.109000,0.037619
0.109500,0.039044
0.110000,0.029447
0.110500,0.023919
0.111000,0.019843
0.111500,0.047969
0.112000,0.033994
0.112500,0.040994
0.113000,0.028322
0.113500,0.028146
0.114000,0.026344
0.114500,0.034762
0.115000,0.019025
0.115500,0.029885
0.116000,0.027452
0.116500,0.041062
0.117000,0.033704
0.117500,0.027369
0.118000,0.028148
0.118500,0.051416
0.119000,0.041978
0.119500,0.029345
0.120000,0.021951
0.120500,0.047747
0.121000,0.047583
0.121500,0.040344
0.122000,0.009829
0.122500,0.018457
0.123000,0.026188
0.123500,0.023165
0.124000,0.026116
0.124500,0.026771
0.125000,0.018924
0.125500,0.017700
0.126000,0.034098
0.126500,0.039469
0.127000,0.024496
0.127500,0.023899
0.128000,0.016271
0.128500,0.015137
0.129000,0.026842
0.129500,0.025697
0.130000,0.030913
0.130500,0.039931
0.131000,0.017160
0.131500,0.026102
0.132000,0.030781
0.132500,0.048850
0.133000,0.031109
0.133500,0.033029
0.134000,0.024911
0.134500,0.031940
0.135000,0.036274
0.135500,0.020619
0.136000,0.041582
0.136500,0.034274
0.137000,0.034015
0.137500,0.029822
0.138000,0.023889
0.138500,0.027076
0.139000,0.036049
0.139500,0.026233
0.140000,0.010316
0.140500,0.026269
0.141000,0.034251
0.141500,0.024938
0.142000,0.031001
0.142500,0.017359
0.143000,0.017910
0.143500,0.030553
0.144000,0.050935
0.144500,0.038846
0.145000,0.017127
0.145500,0.021266
0.146000,0.030791
0.146500,0.020708
0.147000,0.016204
0.147500,0.046980
0.148000,-0.000069
0.148500,0.008924
0.149000,0.016840
0.149500,0.026507
0.150000,0.023587
0.150500,0.036155
0.151000,0.009365
0.151500,0.023061
0.152000,0.034388
0.152500,0.011571
0.153000,0.016720
0.153500,0.036981
0.154000,0.033810
0.154500,0.025689
0.155000,0.031028
0.155500,0.031104
0.156000,0.019323
0.156500,0.021709
0.157000,0.014454
0.157500,0.012543
0.158000,0.021148
0.158500,0.018982
0.159000,0.004198
0.159500,0.022041
0.160000,0.031840
0.160500,0.013723
0.161000,0.013262
0.161500,0.049362
0.162000,0.011641
0.162500,0.016796
0.163000,0.027482
0.163500,0.010311
0.164000,0.017622
0.164500,0.037078
0.165000,0.024146
0.165500,0.015114
0.166000,0.020791
0.166500,0.023608
0.167000,0.008988
0.167500,0.030169
0.168000,0.001089
0.168500,0.012331
0.169000,0.024106
0.169500,0.022081
0.170000,0.039886
0.170500,0.008022
0.171000,0.016940
0.171500,0.019066
0.172000,0.000848
0.172500,0.004514
0.173000,0.027994
0.173500,0.038062
0.174000,0.016566
0.174500,0.027381
0.175000,0.015677
0.175500,0.001833
0.176000,0.020071
0.176500,0.002869
0.177000,0.023953
0.177500,0.032478
0.178000,0.009533
0.178500,0.024695
0.179000,0.033144
0.179500,0.018952
0.180000,0.023751
0.180500,0.036534
0.181000,0.014064
0.181500,0.007538
0.182000,0.003954
0.182500,0.037389
0.183000,0.007404
0.183500,0.023915
0.184000,0.000660
0.184500,0.005761
0.185000,0.015286
0.185500,0.017903
0.186000,0.007304
0.186500,0.029570
0.187000,0.000181
0.187500,0.036540
0.188000,0.014188
0.188500,0.019193
0.189000,0.033140
0.189500,0.004525
0.190000,0.003194
0.190500,0.027195
0.191000,0.017589
0.191500,0.013542
0.192000,0.001583
0.192500,0.025053
0.193000,0.004912
0.193500,0.013703
0.194000,0.013251
0.194500,0.032133
0.195000,0.009270
0.195500,0.026030
0.196000,0.024757
0.196500,0.025517
0.197000,0.018355
0.197500,0.011969
0.198000,0.013393
0.198500,-0.002611
0.199000,0.024731
0.199500,0.009904
0.200000,0.016455
0.200500,0.004318
0.201000,0.021504
0.201500,0.015422
0.202000,-0.000651
0.202500,0.029769
0.203000,0.016401
0.203500,0.034050
0.204000,0.021364
0.204500,0.021462
0.205000,0.012639
0.205500,0.035469
0.206000,0.011429
0.206500,0.003033
0.207000,0.002463
0.207500,0.033828
0.208000,0.022472
0.208500,0.002721
0.209000,0.025742
0.209500,0.018510
0.210000,0.038484
0.210500,0.006716
0.211000,0.008377
0.211500,0.007185
0.212000,0.007050
0.212500,0.011421
0.213000,0.015431
0.213500,0.009507
0.214000,0.017585
0.214500,0.007120
0.215000,0.013234
0.215500,0.017090
0.216000,0.006875
0.216500,0.006182
0.217000,-0.002412
0.217500,0.012503
0.218000,-0.005041
0.218500,0.014644
0.219000,0.010947
0.219500,0.020435
0.220000,0.011685
0.220500,0.011523
0.221000,0.015825
0.221500,0.014834
0.222000,0.003811
0.222500,0.007268
0.223000,0.018202
0.223500,0.004998
0.224000,0.012406
0.224500,0.004055
0.225000,0.008730
0.225500,0.014328
0.226000,0.016410
0.226500,0.017677
0.227000,0.010297
0.227500,0.022175
0.228000,0.007617
0.228500,0.010664
0.229000,0.018467
0.229500,0.008488
0.230000,0.002174
0.230500,-0.002675
0.231000,0.003939
0.231500,0.000638
0.232000,0.021322
0.232500,0.015041
0.233000,0.009281
0.233500,0.007142
0.234000,-0.003309
0.234500,0.004920
0.235000,-0.000995
0.235500,0.000041
0.236000,0.017900
0.236500,0.001398
0.237000,0.004942
0.237500,-0.006670
0.238000,0.022950
0.238500,0.027874
0.239000,-0.008986
0.239500,0.010233
0.240000,0.002586
0.240500,0.015790
0.241000,0.003965
0.241500,0.009398
0.242000,0.006669
0.242500,0.002824
0.243000,-0.000091
0.243500,0.011071
0.244000,0.003862
0.244500,-0.007956
0.245000,0.010773
0.245500,0.024578
0.246000,0.011886
0.246500,-0.010820
0.247000,0.010768
0.247500,-0.007069
0.248000,0.006986
0.248500,0.021563
0.249000,0.000180
0.249500,-0.002899
0.250000,0.000407
0.250500,0.008882
0.251000,0.013139
0.251500,-0.002307
0.252000,0.023712
0.252500,0.009708
0.253000,0.002798
0.253500,0.018660
0.254000,0.016299
0.254500,0.009268
0.255000,0.013227
0.255500,0.017001
0.256000,-0.008673
0.256500,0.012811
0.257000,0.001888
0.257500,0.011206
0.258000,0.007728
0.258500,0.004727
0.259000,0.001286
0.259500,0.019494
0.260000,0.006095
0.260500,0.004564
0.261000,0.003944
0.261500,0.018629
0.262000,-0.012070
0.262500,-0.009453
0.263000,0.024180
0.263500,0.019634
0.264000,0.000501
0.264500,0.010281
0.265000,0.005692
0.265500,0.041601
0.266000,0.009913
0.266500,-0.008095
0.267000,0.004547
0.267500,0.002171
0.268000,-0.000909
0.268500,0.006588
0.269000,0.008678
0.269500,0.009873
0.270000,0.006130
0.270500,0.029203
0.271000,0.002641
0.271500,0.012292
0.272000,0.000161
0.272500,0.016943
0.273000,0.009326
0.273500,-0.002690
0.274000,0.012332
0.274500,0.016651
0.275000,0.009095
0.275500,0.016350
0.276000,0.021418
0.276500,0.023282
0.277000,0.005643
0.277500,0.021409
0.278000,0.029061
0.278500,-0.011158
0.279000,0.002307
0.279500,0.027119
0.280000,-0.003849
0.280500,-0.004750
0.281000,-0.004220
0.281500,-0.000269
0.282000,0.003227
0.282500,0.010852
0.283000,0.012145
0.283500,0.008156
0.284000,0.030925
0.284500,0.003787
0.285000,0.004408
0.285500,0.000765
0.286000,0.009164
0.286500,0.003694
0.287000,0.009837
0.287500,0.004441
0.288000,0.025097
0.288500,0.020636
0.289000,0.011541
0.289500,-0.000363
0.290000,-0.002546
0.290500,-0.003279
0.291000,0.002874
0.291500,-0.004703
0.292000,0.005284
0.292500,-0.014596
0.293000,0.009215
0.293500,0.012879
0.294000,-0.008484
0.294500,0.009843
0.295000,0.005387
0.295500,0.017120
0.296000,0.016127
0.296500,-0.005238
0.297000,0.000996
0.297500,-0.000519
0.298000,0.016270
0.298500,0.009484
0.299000,0.005531
0.299500,0.015129
0.300000,0.015881
0.300500,0.001316
0.301000,0.005037
0.301500,0.009193
0.302000,0.015180
0.302500,0.010086
0.303000,0.006749
0.303500,0.005643
0.304000,0.006661
0.304500,-0.008304
0.305000,0.007589
0.305500,0.008389
0.306000,0.006720
0.306500,0.005144
0.307000,0.023258
0.307500,-0.000294
0.308000,0.005059
0.308500,-0.014278
0.309000,0.012942
0.309500,-0.015701
0.310000,-0.000210
0.310500,0.002947
0.311000,0.002711
0.311500,0.028784
0.312000,-0.006817
0.312500,0.013247
0.313000,-0.000593
0.313500,0.003831
0.314000,-0.006531
0.314500,-0.000373
0.315000,0.007795
0.315500,0.006620
0.316000,0.011045
0.316500,0.020125
0.317000,0.001277
0.317500,-0.007708
0.318000,-0.006703
0.318500,0.001934
0.319000,0.005983
0.319500,0.012959
0.320000,0.002647
0.320500,-0.006550
0.321000,-0.001146
0.321500,0.015143
0.322000,0.007910
0.322500,0.020237
0.323000,0.000666
0.323500,0.007819
0.324000,-0.006930
0.324500,0.023282
0.325000,0.018305
0.325500,0.005440
0.326000,0.004536
0.326500,0.016714
0.327000,-0.011952
0.327500,0.015412
0.328000,-0.004259
0.328500,-0.003837
0.329000,-0.008732
0.329500,0.016964
0.330000,0.021455
0.330500,0.005319
0.331000,0.015643
0.331500,0.012003
0.332000,0.006505
0.332500,0.013537
0.333000,-0.020676
0.333500,0.001733
0.334000,0.014940
0.334500,0.024233
0.335000,-0.014497
0.335500,-0.021295
0.336000,0.005895
0.336500,-0.007232
0.337000,0.008794
0.337500,0.006880
0.338000,-0.003534
0.338500,-0.004728
0.339000,-0.008521
0.339500,0.002074
0.340000,-0.006128
0.340500,0.013887
0.341000,-0.018308
0.341500,0.011125
0.342000,-0.003032
0.342500,-0.001400
0.343000,-0.009260
0.343500,-0.009755
0.344000,0.004484
0.344500,0.023733
0.345000,-0.001595
0.345500,-0.004011
0.346000,0.002445
0.346500,0.014066
0.347000,0.012699
0.347500,-0.010443
0.348000,0.004563
0.348500,-0.007434
0.349000,0.012323
0.349500,-0.000278
0.350000,-0.011914
0.350500,0.005672
0.351000,0.003102
0.351500,0.023967
0.352000,0.002105
0.352500,-0.009685
0.353000,0.001496
0.353500,-0.003574
0.354000,-0.004672
0.354500,-0.010371
0.355000,-0.004106
0.355500,0.008044
0.356000,0.015195
0.356500,0.008492
0.357000,0.002367
0.357500,0.011689
0.358000,0.003866
0.358500,0.021510
0.359000,-0.003518
0.359500,0.020702
0.360000,0.011742
0.360500,-0.002362
0.361000,-0.002205
0.361500,-0.002899
0.362000,0.014343
0.362500,0.011424
0.363000,-0.013270
0.363500,-0.003454
0.364000,0.005649
0.364500,0.000141
0.365000,-0.005802
0.365500,0.002888
0.366000,0.019781
0.366500,-0.001883
0.367000,-0.007588
0.367500,0.004197
0.368000,-0.002928
0.368500,0.005528
0.369000,0.020686
0.369500,-0.010817
0.370000,0.013626
0.370500,-0.007620
0.371000,-0.009393
0.371500,-0.000534
0.372000,-0.008494
0.372500,0.009940
0.373000,-0.002405
0.373500,-0.000832
0.374000,0.006204
0.374500,-0.022216
0.375000,-0.007925
0.375500,0.007665
0.376000,0.004356
0.376500,0.004346
0.377000,0.020335
0.377500,0.011750
0.378000,0.023763
0.378500,0.013269
0.379000,0.013576
0.379500,0.008940
0.380000,0.014253
0.380500,0.008162
0.381000,0.009517
0.381500,0.005694
0.382000,0.012687
0.382500,0.012927
0.383000,-0.005552
0.383500,0.001359
0.384000,-0.005336
0.384500,0.014823
0.385000,-0.007637
0.385500,0.024691
0.386000,0.010704
0.386500,0.001366
0.387000,0.007132
0.387500,-0.009739
0.388000,0.002015
0.388500,0.001638
0.389000,-0.003755
0.389500,0.011104
0.390000,-0.001193
0.390500,0.002242
0.391000,0.002084
0.391500,0.003803
0.392000,0.016605
0.392500,0.008997
0.393000,0.010615
0.393500,-0.009440
0.394000,0.014199
0.394500,-0.003850
0.395000,0.019880
0.395500,0.013858
0.396000,-0.001179
0.396500,-0.004562
0.397000,-0.001815
0.397500,0.005798
0.398000,0.008299
0.398500,0.020741
0.399000,-0.005016
0.399500,-0.003674
0.400000,-0.004748
0.400500,0.017737
0.401000,0.014098
0.401500,0.001902
0.402000,0.001644
0.402500,0.016577
0.403000,-0.000913
0.403500,0.009766
0.404000,-0.027649
0.404500,0.004281
0.405000,0.009175
0.405500,0.013857
0.406000,-0.006617
0.406500,0.000714
0.407000,-0.009320
0.407500,-0.000313
0.408000,0.000992
0.408500,0.012203
0.409000,0.006877
0.409500,0.018130
0.410000,-0.007787
0.410500,-0.005263
0.411000,0.010424
0.411500,0.017626
0.412000,-0.002606
0.412500,-0.004477
0.413000,0.001806
0.413500,0.015568
0.414000,0.008018
0.414500,-0.009859
0.415000,-0.005293
0.415500,-0.005812
0.416000,-0.004052
0.416500,0.006813
0.417000,-0.005076
0.417500,0.013499
0.418000,-0.000854
0.418500,0.027786
0.419000,0.019112
0.419500,-0.014855
0.420000,-0.016785
0.420500,-0.013559
0.421000,-0.021219
0.421500,0.018705
0.422000,-0.012704
0.422500,0.006326
0.423000,0.024250
0.423500,0.000451
0.424000,0.002173
0.424500,0.003333
0.425000,-0.003742
0.425500,0.002028
0.426000,0.001340
0.426500,-0.015572
0.427000,0.006555
0.427500,0.010296
0.428000,0.000118
0.428500,0.011324
0.429000,0.004865
0.429500,0.003329
0.430000,-0.009037
0.430500,0.018206
0.431000,-0.005246
0.431500,-0.007768
0.432000,0.002923
0.432500,-0.007360
0.433000,0.001794
0.433500,-0.018128
0.434000,-0.007616
0.434500,0.007754
0.435000,-0.007101
0.435500,-0.005821
0.436000,0.012623
0.436500,0.011233
0.437000,0.011993
0.437500,-0.000038
0.438000,0.006284
0.438500,-0.003656
0.439000,0.002966
0.439500,-0.004534
0.440000,-0.016081
0.440500,-0.006394
0.441000,-0.005644
0.441500,-0.008881
0.442000,0.017170
0.442500,0.004440
0.443000,-0.005477
0.443500,-0.014457
0.444000,0.010307
0.444500,-0.008308
0.445000,0.003316
0.445500,0.012042
0.446000,-0.014746
0.446500,0.017540
0.447000,-0.010490
0.447500,-0.005142
0.448000,-0.006287
0.448500,0.006295
0.449000,0.005657
0.449500,0.013314
0.450000,-0.004890
0.450500,0.005752
0.451000,0.006755
0.451500,0.010881
0.452000,-0.006127
0.452500,-0.002716
0.453000,0.019696
0.453500,-0.009341
0.454000,0.016325
0.454500,-0.003497
0.455000,0.012431
0.455500,-0.005384
0.456000,0.003596
0.456500,-0.019171
0.457000,0.001605
0.457500,0.011562
0.458000,0.007789
0.458500,-0.007905
0.459000,-0.015780
0.459500,-0.007993
0.460000,0.010888
0.460500,-0.004851
0.461000,-0.008648
0.461500,0.009519
0.462000,-0.009393
0.462500,0.012815
0.463000,0.004936
0.463500,-0.001419
0.464000,-0.028545
0.464500,0.000706
0.465000,-0.000911
0.465500,0.000320
0.466000,-0.002057
0.466500,0.028650
0.467000,-0.016558
0.467500,0.008119
0.468000,-0.008895
0.468500,-0.000946
0.469000,-0.000308
0.469500,-0.006543
0.470000,0.012339
0.470500,-0.014447
0.471000,0.012627
0.471500,0.007024
0.472000,0.003467
0.472500,-0.016615
0.473000,-0.008689
0.473500,0.003650
0.474000,-0.006945
0.474500,-0.000500
0.475000,-0.002175
0.475500,-0.002791
0.476000,0.000210
0.476500,0.006111
0.477000,0.006453
0.477500,-0.026726
0.478000,0.002978
0.478500,-0.002816
0.479000,-0.012904
0.479500,-0.004778
0.480000,-0.008308
0.480500,-0.016366
0.481000,0.005419
0.481500,0.015358
0.482000,-0.010674
0.482500,-0.001877
0.483000,0.009594
0.483500,-0.009737
0.484000,0.009682
0.484500,0.006183
0.485000,0.007553
0.485500,0.011192
0.486000,0.001369
0.486500,0.005760
0.487000,-0.002124
0.487500,-0.010333
0.488000,-0.011995
0.488500,0.009492
0.489000,-0.007430
0.489500,0.011494
0.490000,0.012716
0.490500,-0.002448
0.491000,0.006397
0.491500,-0.010562
0.492000,-0.026624
0.492500,0.014350
0.493000,0.013607
0.493500,0.016896
0.494000,-0.003980
0.494500,0.006879
0.495000,0.008503
0.495500,0.018912
0.496000,-0.000717
0.496500,0.015124
0.497000,0.014981
0.497500,0.025271
0.498000,-0.013301
0.498500,0.003946
0.499000,0.005659
0.499500,-0.030364
0.500000,0.002560
0.500500,0.018894
0.501000,-0.004823
0.501500,0.013402
0.502000,-0.002129
0.502500,0.007938
0.503000,0.004308
0.503500,-0.003651
0.504000,-0.000156
0.504500,-0.000936
0.505000,0.005038
0.505500,0.003415
0.506000,-0.009220
0.506500,0.010209
0.507000,0.003218
0.507500,-0.012050
0.508000,0.021483
0.508500,-0.012625
0.509000,0.011750
0.509500,0.002927
0.510000,-0.016319
0.510500,0.000080
0.511000,0.003389
0.511500,0.004800
0.512000,0.003243
0.512500,-0.000858
0.513000,0.002235
0.513500,0.010064
0.514000,0.000559
0.514500,0.007834
0.515000,-0.004985
0.515500,-0.013960
0.516000,0.022656
0.516500,-0.001981
0.517000,-0.004212
0.517500,-0.011097
0.518000,-0.000239
0.518500,0.002012
0.519000,-0.004362
0.519500,-0.004957
0.520000,0.011469
0.520500,-0.015958
0.521000,-0.019850
0.521500,0.006691
0.522000,0.011209
0.522500,0.018069
0.523000,-0.003052
0.523500,0.004725
0.524000,-0.000198
0.524500,-0.008640
0.525000,0.013482
0.525500,-0.020367
0.526000,0.001293
0.526500,0.003715
0.527000,0.004129
0.527500,-0.009450
0.528000,0.000900
0.528500,0.002395
0.529000,-0.000615
0.529500,0.004259
0.530000,0.013549
0.530500,0.005050
0.531000,0.008138
0.531500,-0.006094
0.532000,0.010945
0.532500,-0.000688
0.533000,0.008422
0.533500,0.008262
0.534000,-0.008641
0.534500,0.026404
0.535000,0.017585
0.535500,-0.000277
0.536000,-0.003701
0.536500,0.011989
0.537000,-0.003469
0.537500,-0.000889
0.538000,0.021279
0.538500,-0.020848
0.539000,-0.022430
0.539500,0.005716
0.540000,-0.005773
0.540500,0.012664
0.541000,0.002189
0.541500,-0.012194
0.542000,-0.004772
0.542500,-0.000510
0.543000,0.013743
0.543500,0.017592
0.544000,-0.013947
0.544500,0.008257
0.545000,-0.012922
0.545500,-0.012472
0.546000,-0.002584
0.546500,0.007195
0.547000,0.007142
0.547500,-0.005162
0.548000,0.004556
0.548500,-0.009806
0.549000,-0.015174
0.549500,-0.012321
0.550000,0.008080
0.550500,0.008406
0.551000,-0.006114
0.551500,-0.016228
0.552000,0.017441
0.552500,0.006118
0.553000,0.021989
0.553500,-0.006954
0.554000,-0.003282
0.554500,0.018843
0.555000,0.002469
0.555500,0.016147
0.556000,-0.006605
0.556500,-0.006071
0.557000,0.002975
0.557500,-0.017025
0.558000,-0.023155
0.558500,-0.000850
0.559000,-0.000500
0.559500,-0.000463
0.560000,0.004273
0.560500,-0.005460
0.561000,0.010706
0.561500,-0.009222
0.562000,0.007951
0.562500,-0.011907
0.563000,0.003376
0.563500,-0.003834
0.564000,-0.007987
0.564500,0.016287
0.565000,0.002726
0.565500,-0.008884
0.566000,-0.006695
0.566500,-0.001143
0.567000,-0.002789
0.567500,0.002779
0.568000,0.007782
0.568500,-0.007443
0.569000,0.006361
0.569500,0.007652
0.570000,0.000207
0.570500,0.009150
0.571000,0.004454
0.571500,-0.004521
0.572000,-0.009074
0.572500,0.000737
0.573000,0.000896
0.573500,0.011252
0.574000,-0.016808
0.574500,0.007153
0.575000,-0.008335
0.575500,0.008959
0.576000,0.004900
0.576500,-0.003137
0.577000,0.002896
0.577500,-0.001378
0.578000,-0.007442
0.578500,-0.004207
0.579000,0.002051
0.579500,-0.000461
0.580000,-0.023590
0.580500,-0.012714
0.581000,-0.004503
0.581500,0.015785
0.582000,0.000632
0.582500,0.007932
0.583000,0.018035
0.583500,0.004594
0.584000,0.012155
0.584500,-0.004037
0.585000,-0.003479
0.585500,-0.010976
0.586000,0.010758
0.586500,-0.011058
0.587000,-0.001101
0.587500,0.009185
0.588000,0.012631
0.588500,0.009192
0.589000,-0.004493
0.589500,0.000090
0.590000,-0.010577
0.590500,0.026716
0.591000,-0.003004
0.591500,-0.013232
0.592000,0.012286
0.592500,0.005947
0.593000,-0.009837
0.593500,-0.017220
0.594000,0.008235
0.594500,-0.006016
0.595000,0.014201
0.595500,-0.002220
0.596000,0.009763
0.596500,-0.009968
0.597000,0.015300
0.597500,-0.005540
0.598000,0.004193
0.598500,0.002427
0.599000,0.003942
0.599500,0.002351
0.600000,0.020164
0.600500,0.000235
0.601000,0.006610
0.601500,0.009069
0.602000,0.012603
0.602500,-0.024836
0.603000,-0.014099
0.603500,0.011086
0.604000,-0.008994
0.604500,-0.018303
0.605000,-0.000441
0.605500,-0.005089
0.606000,0.004106
0.606500,0.002358
0.607000,-0.012037
0.607500,0.006393
0.608000,-0.026412
0.608500,0.005023
0.609000,-0.006601
0.609500,-0.005054
0.610000,-0.011525
0.610500,-0.022522
0.611000,-0.005605
0.611500,-0.009088
0.612000,0.007396
0.612500,-0.000852
0.613000,-0.006966
0.613500,-0.012294
0.614000,0.000238
0.614500,-0.013266
0.615000,-0.012540
0.615500,0.006603
0.616000,-0.014055
0.616500,-0.016762
0.617000,-0.007233
0.617500,0.006238
0.618000,-0.006824
0.618500,0.009034
0.619000,-0.003253
0.619500,-0.002680
0.620000,-0.000876
0.620500,-0.006184
0.621000,0.009141
0.621500,0.004911
0.622000,-0.019367
0.622500,-0.005168
0.623000,-0.003806
0.623500,0.003265
0.624000,0.002632
0.624500,0.010105
0.625000,0.004776
0.625500,-0.012193
0.626000,0.005937
0.626500,0.006767
0.627000,-0.012699
0.627500,-0.005215
0.628000,0.008576
0.628500,0.013782
0.629000,-0.000582
0.629500,-0.012172
0.630000,-0.006395
0.630500,0.009160
0.631000,0.011633
0.631500,-0.017060
0.632000,0.023539
0.632500,0.009860
0.633000,-0.004391
0.633500,0.000762
0.634000,-0.004702
0.634500,-0.030597
0.635000,-0.005153
0.635500,-0.004338
0.636000,0.011400
0.636500,-0.002022
0.637000,-0.006809
0.637500,-0.006397
0.638000,0.002666
0.638500,-0.010182
0.639000,0.001155
0.639500,-0.014305
0.640000,-0.001167
0.640500,0.019553
0.641000,-0.021903
0.641500,0.010288
0.642000,0.005161
0.642500,0.010362
0.643000,-0.001304
0.643500,-0.003124
0.644000,0.004159
0.644500,-0.010577
0.645000,0.012021
0.645500,0.013486
0.646000,-0.010220
0.646500,0.005975
0.647000,0.013491
0.647500,0.006916
0.648000,0.000498
0.648500,0.001861
0.649000,0.005993
0.649500,-0.005896
0.650000,-0.001607
0.650500,0.008535
0.651000,0.003564
0.651500,0.006189
0.652000,0.004197
0.652500,0.000249
0.653000,0.014590
0.653500,0.014689
0.654000,-0.002764
0.654500,-0.004643
0.655000,-0.001249
0.655500,0.009601
0.656000,0.015487
0.656500,0.003382
0.657000,0.000288
0.657500,-0.008199
0.658000,0.001508
0.658500,0.011130
0.659000,0.008286
0.659500,0.001091
0.660000,0.002874
0.660500,-0.018422
0.661000,0.022395
0.661500,-0.002704
0.662000,0.008715
0.662500,-0.015602
0.663000,-0.009088
0.663500,0.003697
0.664000,0.006229
0.664500,-0.004702
0.665000,0.000105
0.665500,-0.000320
0.666000,-0.007633
0.666500,-0.007935
0.667000,0.009748
0.667500,0.003470
0.668000,-0.008394
0.668500,0.005878
0.669000,0.008959
0.669500,0.006816
0.670000,-0.002467
0.670500,-0.001622
0.671000,0.000149
0.671500,-0.016674
0.672000,-0.007465
0.672500,0.004845
0.673000,-0.005734
0.673500,-0.005020
0.674000,0.006845
0.674500,0.002885
0.675000,-0.004931
0.675500,0.002598
0.676000,0.007311
0.676500,-0.005123
0.677000,-0.011543
0.677500,0.002068
0.678000,0.001136
0.678500,-0.003503
0.679000,0.001867
